Date,Close,High,Low,Open,Volume,SMA_20,RSI
2025-06-20,200.57769775390625,201.27622400422058,196.44639652864126,197.8235020126397,96813500,,
2025-06-23,201.07666015625,201.87498244787415,198.54200324907936,201.20639190632414,55814300,,
2025-06-24,199.87918090820312,203.0125832870988,199.77938491343542,202.16436301176623,54064000,,
2025-06-25,201.13653564453125,203.2421033073339,200.19850807531137,201.0267661369261,39525700,,
2025-06-26,200.57769775390625,202.2142514946699,199.04094000321476,201.00678701240994,50799100,,
2025-06-27,200.65753173828125,202.7930349784745,199.57979899649257,201.4658274879402,73188600,,
2025-06-30,204.7389373779297,206.95427439094752,198.84135059390303,201.58557286233471,91912800,,
2025-07-01,207.3833770751953,209.74839282792448,205.70689884063935,206.23578409144605,78788900,,
2025-07-02,211.99366760253906,212.8917706186518,207.7026988246806,208.47108532398713,67941800,,
2025-07-03,213.10134887695312,214.19902871499423,211.36499901814886,211.70428104663077,34955800,,
2025-07-07,209.50889587402344,215.77570049162512,208.36131809352125,212.23315593085263,50229000,,
2025-07-08,209.5687713623047,210.98578616820197,208.01205130024096,209.658593847986,42848900,,
2025-07-09,210.69639587402344,210.8859991217609,206.78463359109693,209.0897778625777,48749400,,
2025-07-10,211.96372985839844,213.03147386855414,209.58872537016995,210.06771262581316,44443600,,75.77941626608461
2025-07-11,210.7163543701172,211.68431760849728,209.41908263784933,210.12759762046792,39765800,,71.72791407812994
2025-07-14,208.1816864013672,210.46688365912564,207.10395364435493,209.48893166698292,38840100,,64.00465824405131
2025-07-15,208.67066955566406,211.44482767792792,208.48106630115817,208.7804390594974,42296300,,67.82673482685921
2025-07-16,209.71847534179688,211.95375954691573,208.2016644692293,209.8581806046168,47490500,,67.55097786631916
2025-07-17,209.57875061035156,211.3550095983717,209.14964612579556,210.12759810142074,48068100,,68.72917588743184
2025-07-18,210.73631286621094,211.34503189230253,209.25942654413325,210.42696659875526,48974600,207.02313385009765,70.07147688715452
2025-07-21,212.0335693359375,215.3266389893317,211.18536434566,211.65437808070223,51377400,207.5959274291992,66.33877092069872
2025-07-22,213.94955444335938,214.49840197701596,211.78411528941558,212.69220709721728,46404100,208.23957214355468,65.2032715645922
2025-07-23,213.7000732421875,214.69797228179937,211.9637386583707,214.54829351654996,46989300,208.9306167602539,54.950749711138755
2025-07-24,213.31088256835938,215.2368355364858,213.08137006420023,213.45058781785585,46022600,209.53933410644532,50.634361591650745
2025-07-25,213.43064880371094,214.7877920897316,212.95164630742312,214.24891808809048,40268800,210.18198165893554,65.034360441854
2025-07-28,213.6002960205078,214.39861831079742,212.61237047326716,213.5803337758995,37858000,210.82911987304686,65.32618834372056
2025-07-29,210.8261260986328,214.3586818606333,210.37707459375494,213.73000061776605,51411700,211.13347930908202,50.43830887629605
2025-07-30,208.6107940673828,211.94377315400357,207.28358653790625,211.454797150492,45512500,211.1948501586914,39.35369654028326
2025-07-31,207.1339111328125,209.39913099136336,206.72476887181696,208.0519764228089,80698400,210.95186233520508,38.78836674679785
2025-08-01,201.95481872558594,213.1312852679161,201.07666267114303,210.4269720875647,104434500,210.39453582763673,33.27987819767965
2025-08-04,202.9227752685547,207.44325668811337,201.25627047720934,204.0803265791815,75109300,210.0652297973633,34.9530409162374
2025-08-05,202.49366760253906,204.90858140720596,201.73526982787092,202.97265486934364,44155100,209.711474609375,30.45358208228167
2025-08-06,212.80197143554688,214.9275012748427,205.15806109322384,205.19798558200998,108483100,209.81675338745117,55.625219363769176
2025-08-07,219.56771850585938,220.38600300495352,216.12496995802366,218.42014073215765,90224800,210.19695281982422,62.88958263830955
2025-08-08,228.86814880371094,230.5146761138317,218.78936250198095,220.36604479784603,113854000,211.10454254150392,69.91734976204343
2025-08-11,226.95997619628906,229.33767612130436,224.54232171734583,227.6992650180531,61806100,212.04345703125,65.3957533663331
2025-08-12,229.42758178710938,230.57647717809445,226.8500938879156,227.78917070894937,55626200,213.08130264282227,67.68272054206619
2025-08-13,233.10403442382812,234.77241529044048,230.2068337695816,230.8462285986664,69878500,214.25058059692384,70.7220522493923
2025-08-14,232.5545654296875,234.89229562265464,230.6264418350812,233.83332460758467,51916300,215.3993713378906,69.8428757029999
2025-08-15,231.36570739746094,234.0531046408583,229.11788646444978,233.77337703316005,56038700,216.43084106445312,68.05149854195582
2025-08-18,230.66639709472656,232.89423321308522,229.88715369469057,231.47561022214762,37476200,217.36248245239258,71.04723703336796
